Customer,Spectral Frequency 1 X,Spectral Frequency 1 Y,Spectral Frequency 2 X,Spectral Frequency 2 Y,K-means cluster,Profiles
2093,24.0,71.5888,23.9362,71.1207,9,['E3B']
2094,1.1055,168.8992,1.1057,168.8811,9,['E3A']
2096,24.0,2316.4965,23.9362,2297.9076,7,['KVKSEGMENT_17']
2098,24.0,60.7105,24.0642,60.2673,9,['KVKSEGMENT_13']
2099,1.0,81.9294,0.9999,81.3452,9,['KVKSEGMENT_14']
2100,1.6544,78.1149,1.6541,78.1141,9,['E3C']
2101,0.5611,28.2555,0.5612,28.2513,9,['E3B']
2104,0.6153,78.2848,0.6153,78.2792,9,['E3A']
2105,24.0,87.8221,23.9362,87.1447,9,['E3B']
2106,0.5742,21.5324,0.5741,21.5315,9,['KVKSEGMENT_1']
2109,24.0,69.3879,24.0642,68.8848,9,['E3B']
2110,24.0,483.9857,24.0642,480.0993,0,['E3A']
2111,24.0,68.6299,23.9362,68.1928,9,['E3B']
2113,0.5,121.2006,0.5,120.4222,9,['KVKSEGMENT_8']
2114,0.6153,28.2916,0.6153,28.2783,9,['E3C']
2115,12.0,178.5843,12.016,177.4398,9,['KVKSEGMENT_9']
2116,0.5106,27.8874,0.5107,27.8239,9,['KVKSEGMENT_8']
2117,24.0,2490.4832,23.9362,2474.2862,7,['E3A']
2118,24.0,70.9791,23.9362,70.4117,9,['KVKSEGMENT_13']
2121,1.0,257.0673,0.9999,256.0199,9,['KVKSEGMENT_1']
2123,0.515,24.9433,0.5149,24.9415,9,['KVKSEGMENT_13']
2125,24.0,224.7099,23.9362,223.4288,9,['KVKSEGMENT_14']
2128,0.5723,29.8758,0.5723,29.8668,9,['KVKSEGMENT_12']
2129,24.0,275.7003,23.9362,273.2724,9,['E3C']
2130,0.5,56.1326,0.5,56.067,9,['KVKSEGMENT_16']
2131,0.5459,141.3739,0.5459,141.3345,9,['E3A']
2133,24.0,53.9372,23.9362,53.6102,9,['KVKSEGMENT_1']
2134,2.0,294.7618,2.0004,293.8121,0,['E3C']
2138,0.5028,30.4186,0.5028,30.4134,9,['E3A']
2140,1.5,574.6017,1.4998,574.4462,0,['KVKSEGMENT_2']
2141,24.0,684.2565,24.0642,680.2127,0,['E3B']
2142,24.0,456.1833,23.9362,452.3209,0,['KVKSEGMENT_13']
2144,24.0,116.6228,23.9362,115.7294,9,['KVKSEGMENT_19']
2145,0.5424,36.8,0.5424,36.7917,9,['KVKSEGMENT_1']
2146,24.0,455.7435,24.0642,451.5745,0,['E3C']
2147,24.0,692.2913,23.9362,687.9002,0,['KVKSEGMENT_10']
2148,0.5012,38.3887,0.5012,38.3827,9,['E3B']
2149,24.0,123.1156,24.0642,122.0349,9,['KVKSEGMENT_14']
2150,24.0,94.8095,24.0642,94.131,9,['E3A']
2152,24.0,2161.8462,23.9362,2142.433,18,['E3B']
2153,0.5902,481.7491,0.5903,481.3564,0,['E3A']
2154,24.0,248.8053,24.0642,247.0989,9,['KVKSEGMENT_4']
2156,0.6486,425.7091,0.6486,425.1633,0,['E3C']
2158,0.5,1517.3276,0.5,1516.4816,18,['KVKSEGMENT_10']
2163,0.5,615.742,0.5,611.3092,0,['E3B']
2164,24.0,3147.4662,23.9362,3119.5731,7,['KVKSEGMENT_8']
2165,0.5588,36.0652,0.5589,36.0642,9,['E3B']
2168,1.2,248.4304,1.1998,248.0662,9,['KVKSEGMENT_8']
2170,24.0,524.3493,24.0642,520.3266,0,['KVKSEGMENT_8']
2171,0.5,2754.131,0.5,2731.1891,7,['E3C']
2173,24.0,113.3823,23.9362,112.3981,9,['KVKSEGMENT_16']
2175,0.5,497.5938,0.5,493.6119,0,['E3B']
2176,1.8462,1624.9185,1.8458,1618.8257,18,['E3C']
2180,4.0018,5282.3424,4.0,5271.839,16,['KVKSEGMENT_2']
2181,24.0,64.4936,23.9362,63.9999,9,['KVKSEGMENT_13']
2182,8.0,77.8709,7.9929,77.4939,9,['KVKSEGMENT_19']
2183,0.5581,29.2726,0.5581,29.2545,9,['KVKSEGMENT_19']
2184,24.0,266.1808,2.6667,265.1665,9,['KVKSEGMENT_1']
2186,2.4,48.477,2.4006,48.4048,9,['KVKSEGMENT_20']
2187,0.5,2665.9776,0.5,2641.8842,7,['KVKSEGMENT_8']
2190,0.9793,589.111,0.9792,589.0573,0,['KVKSEGMENT_18']
2192,0.5458,25.9925,0.5458,25.9805,9,['E3B']
2194,24.0,86.8831,23.9362,86.3072,9,['KVKSEGMENT_19']
2196,0.5,386.1368,0.5,382.9944,0,['E3C']
2198,0.5134,34.0679,0.5134,34.055,9,['KVKSEGMENT_8']
2199,24.0,1038.3911,23.9362,1029.5414,14,['KVKSEGMENT_1']
2202,12.0,1664.8064,11.984,1651.954,18,['KVKSEGMENT_1']
2204,0.5854,78.2539,0.5854,78.2281,9,['KVKSEGMENT_19']
2206,1.7143,316.4634,1.7146,315.6743,0,['E3A']
2207,0.6005,52.0127,0.6004,51.9885,9,['KVKSEGMENT_9']
2208,0.5218,37.7709,0.5218,37.7638,9,['E3D']
2209,6.0,177.6373,5.996,176.3987,9,['E3A']
2210,0.5154,45.0308,0.5154,45.0256,9,['KVKSEGMENT_18']
2211,2.4,109.4328,2.3994,109.2417,9,['KVKSEGMENT_18']
2212,0.5018,54.4701,0.5018,54.4308,9,['KVKSEGMENT_14']
2213,0.9084,2076.2564,0.9085,2075.9028,18,['E3C']
2216,24.0,553.8085,24.0642,549.7142,0,['E3B']
2221,24.0,1131.5534,24.0642,1121.5855,14,['E3B']
2222,24.0,163.9062,23.9362,162.4708,9,['KVKSEGMENT_13']
2223,0.5331,186.8408,0.5331,186.726,9,['E3A']
2224,3.0,1046.3941,2.999,1041.4717,14,['E3B']
2226,0.8889,287.1058,0.889,285.072,0,['E3C']
2227,8.0,111.5179,8.0071,110.7255,9,['E3C']
2228,24.0,269.7645,23.9362,267.3521,9,['KVKSEGMENT_8']
2230,24.0,645.3749,24.0642,639.4876,0,['E3A']
2231,0.9606,6648.2837,0.9605,6645.0319,3,['KVKSEGMENT_19']
2232,24.0,91.628,23.9362,91.0247,9,['E3C']
2233,24.0,344.5712,23.9362,341.5228,0,['KVKSEGMENT_18']
2234,0.5121,39.2978,0.5121,39.2969,9,['E3A']
2240,24.0,290.8114,24.0642,288.2956,0,['KVKSEGMENT_4']
2242,0.5,456.6617,0.5,454.0648,0,['E3C']
2243,24.0,1146.8461,24.0642,1141.6726,14,['KVKSEGMENT_1']
2250,0.5304,37.2981,0.5303,37.2813,9,['E3D']
2251,24.0,76.4274,23.9362,75.8311,9,['KVKSEGMENT_16']
2252,24.0,453.4397,23.9362,449.3735,0,['E3A']
2253,0.5481,40.8615,0.5482,40.8515,9,['KVKSEGMENT_18']
2255,0.5,2293.3882,0.5,2286.9864,7,['E3C']
2257,0.6392,221.1189,0.6392,221.0219,9,['E3A']
2258,24.0,50.4636,24.0642,50.1233,9,['KVKSEGMENT_16']
2259,24.0,1899.1333,23.9362,1883.2519,18,['KVKSEGMENT_4']
2260,0.8227,151.515,0.8227,151.3363,9,['KVKSEGMENT_4']
2262,24.0,52.6085,23.9362,52.1329,9,['KVKSEGMENT_8']
2265,24.0,85.127,23.9362,84.5542,9,['KVKSEGMENT_1']
2266,1.5008,65.3618,1.5005,65.3163,9,['KVKSEGMENT_8']
2267,24.0,6308.5764,24.0642,6255.22,3,['E3A']
2268,0.6027,37.6474,0.6027,37.6435,9,['KVKSEGMENT_6']
