Costumer,Spectral Frequency
933.0,25.56
934.0,0.6
935.0,0.72
936.0,25.56
937.0,0.76
938.0,0.56
939.0,0.72
940.0,8.52
941.0,0.56
942.0,25.56
943.0,0.6
944.0,0.52
945.0,0.6
946.0,0.52
947.0,4369.08
948.0,0.56
949.0,0.56
950.0,4369.08
951.0,0.6
952.0,0.56
953.0,0.6
954.0,0.56
955.0,25.56
956.0,25.56
957.0,0.64
958.0,0.72
959.0,25.56
960.0,25.56
961.0,25.56
962.0,25.56
963.0,0.6
964.0,25.56
965.0,0.6
966.0,0.84
967.0,0.52
968.0,0.68
969.0,25.56
970.0,4369.08
971.0,14.96
972.0,4369.08
973.0,0.56
974.0,4369.08
975.0,0.72
976.0,25.56
977.0,25.56
978.0,25.56
979.0,4369.08
980.0,0.64
981.0,0.52
982.0,0.56
983.0,0.52
984.0,25.56
985.0,1.08
986.0,25.56
987.0,25.56
988.0,4.4
989.0,25.56
990.0,0.52
991.0,0.56
992.0,0.96
993.0,0.56
994.0,25.56
995.0,0.6
996.0,0.56
997.0,25.56
998.0,25.56
999.0,25.56
1000.0,1.08
