Customer,Spectral Frequency,K-means cluster,Profiles
360,2.67,16,['KVKSEGMENT_16']
361,0.6,17,['KVKSEGMENT_1']
362,0.66,22,['KVKSEGMENT_4']
363,24.0,1,['KVKSEGMENT_13']
364,24.0,1,['KVKSEGMENT_19']
366,24.0,1,['E3C']
367,0.57,25,['E3B']
368,2.67,16,['E3C']
369,0.53,6,['KVKSEGMENT_8']
370,12.0,2,['KVKSEGMENT_13']
371,0.54,25,['E3A']
372,0.62,17,['E3B']
373,1.09,0,['E3C']
375,24.0,1,['E3B']
376,0.73,13,['E3D']
377,24.0,1,['E3A']
380,0.86,21,['E3C']
381,1.33,19,['KVKSEGMENT_8']
383,0.74,13,['KVKSEGMENT_12']
384,24.0,1,['E3A']
385,0.6,17,['KVKSEGMENT_1']
386,1.17,14,['E3A']
388,12.0,2,['E3C']
389,0.5,6,['KVKSEGMENT_18']
392,1.0,0,['KVKSEGMENT_1']
394,0.61,17,['KVKSEGMENT_6']
397,24.0,1,['KVKSEGMENT_4']
398,0.51,6,['KVKSEGMENT_10']
401,6.0,4,['KVKSEGMENT_12']
402,0.75,13,['KVKSEGMENT_17']
403,0.96,0,['E3C']
404,12.0,2,['KVKSEGMENT_10']
405,0.5,6,['E3A']
406,12.0,2,['E3B']
407,3.0,11,['E3A']
408,24.0,1,['KVKSEGMENT_16']
410,0.63,22,['KVKSEGMENT_10']
411,1.0,0,['E3B']
412,0.52,6,['E3B']
413,0.51,6,['KVKSEGMENT_13']
414,24.0,1,['KVKSEGMENT_18']
415,0.5,6,['KVKSEGMENT_8']
416,0.89,21,['KVKSEGMENT_1']
417,24.0,1,['E3A']
418,24.0,1,['E3B']
419,1.0,0,['E3A']
421,24.0,1,['E3B']
423,24.0,1,['KVKSEGMENT_8']
425,0.5,6,['KVKSEGMENT_8']
426,0.55,25,['E3A']
427,1.41,10,['E3A']
428,24.0,1,['E3A']
430,1.2,14,['KVKSEGMENT_9']
432,1.04,0,['KVKSEGMENT_8']
433,24.0,1,['KVKSEGMENT_13']
434,24.0,1,['KVKSEGMENT_12']
436,1.0,0,['KVKSEGMENT_14']
437,24.0,1,['E3B']
438,0.67,22,['E3A']
439,2.0,9,['E3A']
440,24.0,1,['KVKSEGMENT_1']
441,2.18,20,['KVKSEGMENT_4']
442,24.0,1,['KVKSEGMENT_16']
443,24.0,1,['E3C']
445,24.0,1,['E3C']
448,0.51,6,['E3B']
449,24.0,1,['KVKSEGMENT_5']
450,0.51,6,['E3A']
451,0.59,17,['KVKSEGMENT_8']
452,1.0,0,['E3C']
453,0.5,6,['E3C']
454,24.0,1,['KVKSEGMENT_1']
455,24.0,1,['KVKSEGMENT_14']
457,24.0,1,['E3C']
458,0.5,6,['E3C']
